k,ext_degree,hash,schedule,rounds,proof_KB,prover_time,verifier_time
10,8,SHA3-256,"[8, 8, 4, 4, 4, 2]",6,80.88,6.3023e+05,8.3400e+04
10,8,SHA3-256,"[8, 8, 8, 4, 4]",5,81.78,6.2961e+05,8.1790e+04
10,8,SHA3-256,"[8, 8, 8, 8, 2]",5,84.59,6.2958e+05,8.3230e+04
11,8,SHA3-256,"[8, 8, 4, 4, 4, 4]",6,89.31,1.2605e+06,9.3840e+04
11,8,SHA3-256,"[8, 8, 8, 4, 4, 2]",6,90.25,1.2594e+06,9.2280e+04
11,8,SHA3-256,"[8, 8, 8, 8, 4]",5,92.09,1.2592e+06,9.2170e+04
12,8,SHA3-256,"[8, 8, 8, 4, 4, 4]",6,98.69,2.5187e+06,1.0272e+05
12,8,SHA3-256,"[8, 8, 8, 8, 4, 2]",6,100.56,2.5185e+06,1.0266e+05
12,8,SHA3-256,"[8, 8, 8, 8, 8]",5,103.34,2.5184e+06,1.0405e+05
13,8,SHA3-256,"[8, 8, 8, 8, 4, 4]",6,109.00,5.0369e+06,1.1310e+05
13,8,SHA3-256,"[8, 8, 8, 8, 8, 2]",6,111.81,5.0369e+06,1.1454e+05
14,8,SHA3-256,"[8, 8, 8, 8, 8, 4]",6,120.25,1.0074e+07,1.2498e+05
14,8,SHA3-256,"[16, 8, 8, 8, 4, 4]",6,124.00,1.0607e+07,1.2486e+05
15,8,SHA3-256,"[8, 8, 8, 8, 8, 8]",6,132.44,2.0148e+07,1.3836e+05
15,8,SHA3-256,"[16, 8, 8, 8, 8, 4]",6,135.25,2.1215e+07,1.3674e+05
15,8,SHA3-256,"[8, 16, 8, 8, 8, 4]",6,136.19,2.0281e+07,1.3824e+05
16,8,SHA3-256,"[16, 8, 8, 8, 8, 8]",6,147.44,4.2430e+07,1.5012e+05
16,8,SHA3-256,"[8, 16, 8, 8, 8, 8]",6,148.38,4.0562e+07,1.5162e+05
16,8,SHA3-256,"[8, 8, 16, 8, 8, 8]",6,149.31,4.0329e+07,1.5312e+05
16,8,SHA3-256,"[8, 8, 8, 16, 8, 8]",6,150.25,4.0299e+07,1.5462e+05
16,8,SHA3-256,"[8, 8, 8, 8, 16, 8]",6,151.19,4.0296e+07,1.5612e+05
16,8,SHA3-256,"[16, 16, 8, 8, 8, 4]",6,151.19,4.2563e+07,1.5000e+05
16,8,SHA3-256,"[8, 8, 8, 8, 8, 16]",6,152.12,4.0295e+07,1.5762e+05
17,8,SHA3-256,"[16, 16, 8, 8, 8, 8]",6,163.38,8.5127e+07,1.6338e+05
17,8,SHA3-256,"[16, 8, 16, 8, 8, 8]",6,164.31,8.4893e+07,1.6488e+05
17,8,SHA3-256,"[8, 16, 16, 8, 8, 8]",6,165.25,8.1157e+07,1.6638e+05
17,8,SHA3-256,"[8, 16, 8, 16, 8, 8]",6,166.19,8.1128e+07,1.6788e+05
17,8,SHA3-256,"[8, 8, 16, 16, 8, 8]",6,167.12,8.0661e+07,1.6938e+05
17,8,SHA3-256,"[8, 8, 16, 8, 16, 8]",6,168.06,8.0658e+07,1.7088e+05
17,8,SHA3-256,"[8, 8, 8, 16, 16, 8]",6,169.00,8.0599e+07,1.7238e+05
17,8,SHA3-256,"[8, 8, 8, 16, 8, 16]",6,169.94,8.0599e+07,1.7388e+05
17,8,SHA3-256,"[8, 8, 8, 8, 16, 16]",6,170.88,8.0592e+07,1.7538e+05
17,8,SHA3-256,"[8, 8, 8, 8, 8, 32]",6,186.81,8.0591e+07,1.8864e+05
18,8,SHA3-256,"[16, 16, 16, 8, 8, 8]",6,180.25,1.7029e+08,1.7814e+05
18,8,SHA3-256,"[16, 16, 8, 16, 8, 8]",6,181.19,1.7026e+08,1.7964e+05
18,8,SHA3-256,"[16, 8, 16, 16, 8, 8]",6,182.12,1.6979e+08,1.8114e+05
18,8,SHA3-256,"[8, 16, 16, 16, 8, 8]",6,183.06,1.6232e+08,1.8264e+05
18,8,SHA3-256,"[8, 16, 16, 8, 16, 8]",6,184.00,1.6232e+08,1.8414e+05
18,8,SHA3-256,"[8, 16, 8, 16, 16, 8]",6,184.94,1.6226e+08,1.8564e+05
18,8,SHA3-256,"[8, 8, 16, 16, 16, 8]",6,185.88,1.6132e+08,1.8714e+05
18,8,SHA3-256,"[8, 8, 16, 16, 8, 16]",6,186.81,1.6132e+08,1.8864e+05
18,8,SHA3-256,"[8, 8, 16, 8, 16, 16]",6,187.75,1.6132e+08,1.9014e+05
18,8,SHA3-256,"[8, 8, 8, 16, 16, 16]",6,188.69,1.6120e+08,1.9164e+05
18,8,SHA3-256,"[8, 8, 8, 8, 32, 16]",6,204.62,1.6119e+08,2.0490e+05
18,8,SHA3-256,"[8, 8, 8, 8, 16, 32]",6,205.56,1.6118e+08,2.0640e+05
18,8,SHA3-256,"[8, 8, 8, 8, 8, 64]",6,251.50,1.6118e+08,2.4168e+05
19,8,SHA3-256,"[16, 16, 16, 16, 8, 8]",6,198.06,3.4058e+08,1.9440e+05
19,8,SHA3-256,"[16, 16, 16, 8, 16, 8]",6,199.00,3.4057e+08,1.9590e+05
19,8,SHA3-256,"[16, 16, 8, 16, 16, 8]",6,199.94,3.4052e+08,1.9740e+05
19,8,SHA3-256,"[16, 8, 16, 16, 16, 8]",6,200.88,3.3958e+08,1.9890e+05
19,8,SHA3-256,"[8, 16, 16, 16, 16, 8]",6,201.81,3.2464e+08,2.0040e+05
19,8,SHA3-256,"[8, 16, 16, 16, 8, 16]",6,202.75,3.2464e+08,2.0190e+05
19,8,SHA3-256,"[8, 16, 16, 8, 16, 16]",6,203.69,3.2463e+08,2.0340e+05
19,8,SHA3-256,"[8, 16, 8, 16, 16, 16]",6,204.62,3.2451e+08,2.0490e+05
19,8,SHA3-256,"[8, 8, 16, 16, 16, 16]",6,205.56,3.2265e+08,2.0640e+05
19,8,SHA3-256,"[8, 8, 8, 32, 16, 16]",6,221.50,3.2246e+08,2.1966e+05
19,8,SHA3-256,"[8, 8, 8, 16, 32, 16]",6,222.44,3.2240e+08,2.2116e+05
19,8,SHA3-256,"[8, 8, 8, 16, 16, 32]",6,223.38,3.2240e+08,2.2266e+05
19,8,SHA3-256,"[8, 8, 8, 8, 32, 32]",6,239.31,3.2237e+08,2.3592e+05
19,8,SHA3-256,"[8, 8, 8, 8, 16, 64]",6,270.25,3.2237e+08,2.5944e+05
19,8,SHA3-256,"[8, 8, 8, 8, 8, 128]",6,376.19,3.2237e+08,3.4026e+05
20,8,SHA3-256,"[16, 16, 16, 16, 16, 8]",6,216.81,6.8115e+08,2.1216e+05
20,8,SHA3-256,"[16, 16, 16, 16, 8, 16]",6,217.75,6.8115e+08,2.1366e+05
20,8,SHA3-256,"[16, 16, 16, 8, 16, 16]",6,218.69,6.8115e+08,2.1516e+05
20,8,SHA3-256,"[16, 16, 8, 16, 16, 16]",6,219.62,6.8103e+08,2.1666e+05
20,8,SHA3-256,"[16, 8, 16, 16, 16, 16]",6,220.56,6.7916e+08,2.1816e+05
20,8,SHA3-256,"[8, 16, 16, 16, 16, 16]",6,221.50,6.4928e+08,2.1966e+05
20,8,SHA3-256,"[8, 8, 32, 16, 16, 16]",6,237.44,6.4633e+08,2.3292e+05
20,8,SHA3-256,"[8, 8, 16, 32, 16, 16]",6,238.38,6.4536e+08,2.3442e+05
20,8,SHA3-256,"[8, 8, 16, 16, 32, 16]",6,239.31,6.4530e+08,2.3592e+05
20,8,SHA3-256,"[8, 8, 16, 16, 16, 32]",6,240.25,6.4529e+08,2.3742e+05
20,8,SHA3-256,"[8, 8, 8, 32, 32, 16]",6,255.25,6.4493e+08,2.4918e+05
20,8,SHA3-256,"[8, 8, 8, 32, 16, 32]",6,256.19,6.4493e+08,2.5068e+05
20,8,SHA3-256,"[8, 8, 8, 16, 32, 32]",6,257.12,6.4480e+08,2.5218e+05
20,8,SHA3-256,"[8, 8, 8, 16, 16, 64]",6,288.06,6.4480e+08,2.7570e+05
20,8,SHA3-256,"[8, 8, 8, 8, 64, 32]",6,303.06,6.4477e+08,2.8746e+05
20,8,SHA3-256,"[8, 8, 8, 8, 32, 64]",6,304.00,6.4475e+08,2.8896e+05
20,8,SHA3-256,"[8, 8, 8, 8, 16, 128]",6,394.94,6.4474e+08,3.5802e+05
20,8,SHA3-256,"[8, 8, 8, 8, 8, 256]",6,620.88,6.4474e+08,5.2992e+05
21,8,SHA3-256,"[16, 16, 16, 16, 16, 16]",6,236.50,1.3623e+09,2.3142e+05
21,8,SHA3-256,"[8, 32, 16, 16, 16, 16]",6,252.44,1.3151e+09,2.4468e+05
21,8,SHA3-256,"[8, 16, 32, 16, 16, 16]",6,253.38,1.2996e+09,2.4618e+05
21,8,SHA3-256,"[8, 16, 16, 32, 16, 16]",6,254.31,1.2986e+09,2.4768e+05
21,8,SHA3-256,"[8, 16, 16, 16, 32, 16]",6,255.25,1.2986e+09,2.4918e+05
21,8,SHA3-256,"[8, 16, 16, 16, 16, 32]",6,256.19,1.2986e+09,2.5068e+05
21,8,SHA3-256,"[8, 8, 32, 32, 16, 16]",6,270.25,1.2927e+09,2.6094e+05
21,8,SHA3-256,"[8, 8, 32, 16, 32, 16]",6,271.19,1.2927e+09,2.6244e+05
21,8,SHA3-256,"[8, 8, 16, 32, 32, 16]",6,272.12,1.2907e+09,2.6394e+05
21,8,SHA3-256,"[8, 8, 16, 32, 16, 32]",6,273.06,1.2907e+09,2.6544e+05
21,8,SHA3-256,"[8, 8, 16, 16, 32, 32]",6,274.00,1.2906e+09,2.6694e+05
21,8,SHA3-256,"[8, 8, 8, 32, 32, 32]",6,289.94,1.2899e+09,2.8020e+05
21,8,SHA3-256,"[8, 8, 8, 16, 64, 32]",6,320.88,1.2896e+09,3.0372e+05
21,8,SHA3-256,"[8, 8, 8, 16, 32, 64]",6,321.81,1.2896e+09,3.0522e+05
21,8,SHA3-256,"[8, 8, 8, 8, 64, 64]",6,367.75,1.2895e+09,3.4050e+05
21,8,SHA3-256,"[8, 8, 8, 8, 32, 128]",6,428.69,1.2895e+09,3.8754e+05
21,8,SHA3-256,"[8, 8, 8, 8, 16, 256]",6,639.62,1.2895e+09,5.4768e+05
22,8,SHA3-256,"[32, 16, 16, 16, 16, 16]",6,266.50,2.9897e+09,2.5494e+05
22,8,SHA3-256,"[16, 32, 16, 16, 16, 16]",6,267.44,2.7412e+09,2.5644e+05
22,8,SHA3-256,"[16, 16, 32, 16, 16, 16]",6,268.38,2.7257e+09,2.5794e+05
22,8,SHA3-256,"[16, 16, 16, 32, 16, 16]",6,269.31,2.7247e+09,2.5944e+05
22,8,SHA3-256,"[16, 16, 16, 16, 32, 16]",6,270.25,2.7246e+09,2.6094e+05
22,8,SHA3-256,"[16, 16, 16, 16, 16, 32]",6,271.19,2.7246e+09,2.6244e+05
22,8,SHA3-256,"[8, 32, 32, 16, 16, 16]",6,284.31,2.6313e+09,2.7120e+05
22,8,SHA3-256,"[8, 32, 16, 32, 16, 16]",6,285.25,2.6303e+09,2.7270e+05
22,8,SHA3-256,"[8, 16, 32, 32, 16, 16]",6,286.19,2.5992e+09,2.7420e+05
22,8,SHA3-256,"[8, 16, 32, 16, 32, 16]",6,287.12,2.5992e+09,2.7570e+05
22,8,SHA3-256,"[8, 16, 16, 32, 32, 16]",6,288.06,2.5972e+09,2.7720e+05
22,8,SHA3-256,"[8, 16, 16, 32, 16, 32]",6,289.00,2.5972e+09,2.7870e+05
22,8,SHA3-256,"[8, 16, 16, 16, 32, 32]",6,289.94,2.5971e+09,2.8020e+05
22,8,SHA3-256,"[8, 8, 32, 32, 32, 16]",6,304.00,2.5854e+09,2.9046e+05
22,8,SHA3-256,"[8, 8, 32, 32, 16, 32]",6,304.94,2.5854e+09,2.9196e+05
22,8,SHA3-256,"[8, 8, 32, 16, 32, 32]",6,305.88,2.5853e+09,2.9346e+05
22,8,SHA3-256,"[8, 8, 16, 32, 32, 32]",6,306.81,2.5814e+09,2.9496e+05
22,8,SHA3-256,"[8, 8, 16, 16, 64, 32]",6,337.75,2.5812e+09,3.1848e+05
22,8,SHA3-256,"[8, 8, 16, 16, 32, 64]",6,338.69,2.5812e+09,3.1998e+05
22,8,SHA3-256,"[8, 8, 8, 64, 32, 32]",6,352.75,2.5803e+09,3.3024e+05
22,8,SHA3-256,"[8, 8, 8, 32, 64, 32]",6,353.69,2.5797e+09,3.3174e+05
22,8,SHA3-256,"[8, 8, 8, 32, 32, 64]",6,354.62,2.5797e+09,3.3324e+05
22,8,SHA3-256,"[8, 8, 8, 16, 64, 64]",6,385.56,2.5793e+09,3.5676e+05
22,8,SHA3-256,"[8, 8, 8, 16, 32, 128]",6,446.50,2.5792e+09,4.0380e+05
22,8,SHA3-256,"[8, 8, 8, 8, 128, 64]",6,491.50,2.5792e+09,4.3758e+05
22,8,SHA3-256,"[8, 8, 8, 8, 64, 128]",6,492.44,2.5791e+09,4.3908e+05
22,8,SHA3-256,"[8, 8, 8, 8, 32, 256]",6,673.38,2.5790e+09,5.7720e+05
22,8,SHA3-256,"[8, 8, 8, 8, 16, 512]",6,1124.31,2.5790e+09,9.1950e+05
23,8,SHA3-256,"[32, 32, 16, 16, 16, 16]",6,297.44,5.9960e+09,2.7996e+05
23,8,SHA3-256,"[32, 16, 32, 16, 16, 16]",6,298.38,5.9804e+09,2.8146e+05
23,8,SHA3-256,"[16, 32, 32, 16, 16, 16]",6,299.31,5.4834e+09,2.8296e+05
23,8,SHA3-256,"[16, 32, 16, 32, 16, 16]",6,300.25,5.4824e+09,2.8446e+05
23,8,SHA3-256,"[16, 16, 32, 32, 16, 16]",6,301.19,5.4514e+09,2.8596e+05
23,8,SHA3-256,"[16, 16, 32, 16, 32, 16]",6,302.12,5.4513e+09,2.8746e+05
23,8,SHA3-256,"[16, 16, 16, 32, 32, 16]",6,303.06,5.4494e+09,2.8896e+05
23,8,SHA3-256,"[16, 16, 16, 32, 16, 32]",6,304.00,5.4494e+09,2.9046e+05
23,8,SHA3-256,"[16, 16, 16, 16, 32, 32]",6,304.94,5.4492e+09,2.9196e+05
23,8,SHA3-256,"[8, 32, 32, 32, 16, 16]",6,317.12,5.2626e+09,2.9922e+05
23,8,SHA3-256,"[8, 32, 32, 16, 32, 16]",6,318.06,5.2626e+09,3.0072e+05
23,8,SHA3-256,"[8, 32, 16, 32, 32, 16]",6,319.00,5.2606e+09,3.0222e+05
23,8,SHA3-256,"[8, 16, 32, 32, 32, 16]",6,319.94,5.1985e+09,3.0372e+05
23,8,SHA3-256,"[8, 16, 32, 32, 16, 32]",6,320.88,5.1985e+09,3.0522e+05
23,8,SHA3-256,"[8, 16, 32, 16, 32, 32]",6,321.81,5.1984e+09,3.0672e+05
23,8,SHA3-256,"[8, 16, 16, 32, 32, 32]",6,322.75,5.1945e+09,3.0822e+05
23,8,SHA3-256,"[8, 8, 32, 32, 32, 32]",6,338.69,5.1709e+09,3.2148e+05
23,8,SHA3-256,"[8, 8, 16, 64, 32, 32]",6,369.62,5.1635e+09,3.4500e+05
23,8,SHA3-256,"[8, 8, 16, 32, 64, 32]",6,370.56,5.1629e+09,3.4650e+05
23,8,SHA3-256,"[8, 8, 16, 32, 32, 64]",6,371.50,5.1629e+09,3.4800e+05
23,8,SHA3-256,"[8, 8, 16, 16, 64, 64]",6,402.44,5.1624e+09,3.7152e+05
23,8,SHA3-256,"[8, 8, 8, 64, 64, 32]",6,416.50,5.1606e+09,3.8178e+05
23,8,SHA3-256,"[8, 8, 8, 64, 32, 64]",6,417.44,5.1606e+09,3.8328e+05
23,8,SHA3-256,"[8, 8, 8, 32, 64, 64]",6,418.38,5.1595e+09,3.8478e+05
23,8,SHA3-256,"[8, 8, 8, 32, 32, 128]",6,479.31,5.1594e+09,4.3182e+05
23,8,SHA3-256,"[8, 8, 8, 16, 128, 64]",6,509.31,5.1586e+09,4.5384e+05
23,8,SHA3-256,"[8, 8, 8, 16, 64, 128]",6,510.25,5.1585e+09,4.5534e+05
23,8,SHA3-256,"[8, 8, 8, 8, 128, 128]",6,616.19,5.1583e+09,5.3616e+05
23,8,SHA3-256,"[8, 8, 8, 8, 64, 256]",6,737.12,5.1582e+09,6.2874e+05
23,8,SHA3-256,"[8, 8, 8, 8, 32, 512]",6,1158.06,5.1580e+09,9.4902e+05
23,8,SHA3-256,"[8, 8, 8, 8, 16, 1024]",6,2089.00,5.1579e+09,1.6571e+06
